DATE,REF,DETAIL,NET,TC,VAT,SUPPLIER,NOMINAL,DEPARTMENT
4/2/2025,0,TAL-LINJA CARDS,2560.8,T0,0,SUPPLIER 0,Materials Purchased,ACCOMMODATION
4/3/2025,1,COMMISSION,8902.12,T8,0,SUPPLIER 1,Sales Commissions,ACCOMMODATION
4/5/2025,2,COMMISSION,206.15,T8,0,SUPPLIER 2,Sales Commissions,ACCOMMODATION
4/4/2025,3,ENFORCEMENT OFFICERS,56,T6,10.08,SUPPLIER 3,Buildings,CAPITAL
4/1/2025,4,DEDICATED DATA SERVICE,2.64,T3,0.48,SUPPLIER 4,Telephone and Fax,ADMINISTRATION
4/1/2025,5,MOBILE,73.14,T3,13.17,SUPPLIER 4,Telephone and Fax,ADMINISTRATION
4/1/2025,6,BUSINESS FLEXI,63.82,T3,11.49,SUPPLIER 5,Telephone and Fax,ADMINISTRATION
4/1/2025,7,BUSINESS FLEXI,108,T3,19.42,SUPPLIER 5,Telephone and Fax,ADMINISTRATION
4/1/2025,7,DATA,1.69,T3,0.31,SUPPLIER 5,Telephone and Fax,ADMINISTRATION
4/1/2025,7,TELEPHONY,152,T3,27.36,SUPPLIER 5,Telephone and Fax,ADMINISTRATION
4/1/2025,7,USAGE,2.29,T3,0.41,SUPPLIER 5,Telephone and Fax,ADMINISTRATION
4/1/2025,7,PAPER BILL,1.27,T3,0.23,SUPPLIER 5,Telephone and Fax,ADMINISTRATION
4/1/2025,7,EXCISE,0.07,T3,0.01,SUPPLIER 5,Telephone and Fax,ADMINISTRATION
4/1/2025,8,MOBILE,19.69,T3,3.55,SUPPLIER 4,Telephone and Fax,ADMINISTRATION
4/1/2025,9,MOBILE,11.37,T3,2.05,SUPPLIER 4,Telephone and Fax,ADMINISTRATION
4/1/2025,10,MOBILE,11.37,T3,2.05,SUPPLIER 4,Telephone and Fax,ADMINISTRATION
4/9/2025,11,LIFT SERVICES,530,T6,95.4,SUPPLIER 7,Buildings,CAPITAL
4/9/2025,11,CONTAINER TRANSPORT,1530,T6,275.4,SUPPLIER 7,Buildings,CAPITAL
4/9/2025,11,VOUCHER,24.49,T6,4.41,SUPPLIER 7,Buildings,CAPITAL
4/7/2025,12,FOOD,148,T0,0,SUPPLIER 8,Materials Purchased,KITCHEN
4/11/2025,13,FOOD,147.1,T0,0,SUPPLIER 8,Materials Purchased,KITCHEN
4/5/2025,14,VACUUM BAGS,107.16,T3,19.29,SUPPLIER 9,Miscellaneous Expenses,KITCHEN
4/8/2025,15,LAUNDRY,469.63,T3,84.53,SUPPLIER 10,Laundry,HOUSEKEEPING
4/9/2025,16,LAUNDRY,80.65,T3,14.52,SUPPLIER 10,Laundry,HOUSEKEEPING
4/14/2025,17,NEWSPAPERS,17.18,T2,0.86,SUPPLIER 11,Materials Purchased,ACCOMMODATION
4/3/2025,18,BEVERAGE,260.93,T1,46.97,SUPPLIER 12,Materials Purchased,BAR
4/3/2025,18,BEVERAGE,67.7,T0,0,SUPPLIER 12,Materials Purchased,BAR
4/3/2025,18,BCRS,6.4,T9,0,SUPPLIER 12,BCRS,BAR
4/11/2025,19,BEVERAGE,386.42,T1,69.56,SUPPLIER 12,Materials Purchased,BAR
4/10/2025,20,BEVERAGE,216,T1,38.88,SUPPLIER 13,Materials Purchased,BAR
4/10/2025,20,BEVERAGE,219,T2,10.94,SUPPLIER 13,Materials Purchased,BAR
4/3/2025,21,mixybar,132.84,T0,0,SUPPLIER 14,Materials Purchased,BAR
4/4/2025,22,BEVERAGE,462.61,T1,83.27,SUPPLIER 15,Materials Purchased,BAR
4/4/2025,22,BEVERAGE,26,T0,0,SUPPLIER 15,Materials Purchased,BAR
4/4/2025,22,DEPOSIT,161.2,T9,0,SUPPLIER 15,Deposits,BAR
4/4/2025,22,BCRS,7.2,T9,0,SUPPLIER 15,BCRS,BAR
4/11/2025,23,BEVERAGE,158.25,T1,28.49,SUPPLIER 15,Materials Purchased,BAR
4/11/2025,23,BEVERAGE,61.74,T2,3.09,SUPPLIER 15,Materials Purchased,BAR
4/11/2025,23,DEPOSIT,124,T9,0,SUPPLIER 15,Deposits,BAR
4/11/2025,23,BCRS,2.4,T9,0,SUPPLIER 15,BCRS,BAR
4/2/2025,24,BEVERAGE,583.97,T1,105.11,SUPPLIER 16,Materials Purchased,BAR
4/2/2025,24,DEPOSIT,125,T9,0,SUPPLIER 16,Deposits,BAR
4/2/2025,24,BCRS,12,T9,0,SUPPLIER 16,BCRS,BAR
4/9/2025,25,BEVERAGE,486.9,T1,87.63,SUPPLIER 16,Materials Purchased,BAR
4/9/2025,25,DEPOSIT,100,T9,0,SUPPLIER 16,Deposits,BAR
4/9/2025,25,BCRS,15.6,T9,0,SUPPLIER 16,BCRS,BAR
4/7/2025,26,LIFT MAINTENANCE,720.5,T3,129.69,SUPPLIER 17,Repairs and Renewals,MAINTENANCE
4/15/2025,27,COMMISSION,34.39,T3,6.19,SUPPLIER 18,Sales Commissions,ACCOMMODATION
4/11/2025,28,ENFORCEMENT OFFICERS,84,T6,15.12,SUPPLIER 3,Buildings,CAPITAL
4/11/2025,29,40 SKIPS MIXED MARCH 25,1120,T3,201.6,SUPPLIER 19,Cleaning,HOUSEKEEPING
4/11/2025,30,60 BINS ORGANIC MARCH 2025,360,T3,64.8,SUPPLIER 19,Cleaning,HOUSEKEEPING
4/17/2025,31,HEALTH INSURANCE RG,56.03,T9,0,SUPPLIER 20,Recruitment Expenses,ADMINISTRATION
4/1/2025,32,INTERNET DOCSIS,25,T3,4.5,SUPPLIER 5,Telephone and Fax,ADMINISTRATION
4/1/2025,32,DISCONNECTION CHARGE,16.95,T3,3.05,SUPPLIER 5,Telephone and Fax,ADMINISTRATION
4/1/2025,32,PAPER BILL,1.27,T3,0.23,SUPPLIER 5,Telephone and Fax,ADMINISTRATION
4/17/2025,33,PASTRY,413.92,T0,0,SUPPLIER 22,Materials Purchased,KITCHEN
4/21/2025,34,GAS,508.47,T3,91.53,SUPPLIER 23,Gas,HOUSEKEEPING
4/10/2025,35,WATER,392,T1,70.56,SUPPLIER 13,Materials Purchased,HOUSEKEEPING
4/10/2025,35,BCRS,211.2,T9,0,SUPPLIER 13,BCRS,HOUSEKEEPING
4/4/2025,36,CASH ROLLS,44,T3,7.92,SUPPLIER 24,Miscellaneous Expenses,RESTAURANT
4/14/2025,37,NAPKINS,37.8,T3,6.8,SUPPLIER 24,Miscellaneous Expenses,RESTAURANT
4/14/2025,37,BAGS,41.3,T3,7.44,SUPPLIER 24,Miscellaneous Expenses,HOUSEKEEPING
4/22/2025,38,pans/tongs,274.41,T3,49.39,SUPPLIER 9,Miscellaneous Expenses,KITCHEN
4/11/2025,39,CALCULATOR/MARKERS,23.72,T3,4.27,SUPPLIER 25,Office Stationery,ADMINISTRATION
4/15/2025,40,TAX COMPLIANCE CERTIFICATE,65,T3,11.7,SUPPLIER 26,Professional Fees,ADMINISTRATION
4/25/2025,41,BANK LETTER REQUEST,50,T3,9,SUPPLIER 26,Professional Fees,ADMINISTRATION
4/25/2025,42,BANK LETTER REQUEST,50,T3,9,SUPPLIER 26,Professional Fees,ADMINISTRATION
4/15/2025,43,MARCH 2024 SERVICES,1203.83,T9,0,SUPPLIER 27,Miscellaneous Expenses,ADMINISTRATION
4/14/2025,44,BEVERAGE,478.12,T1,86.06,SUPPLIER 12,Materials Purchased,BAR
4/14/2025,44,BCRS,7.2,T9,0,SUPPLIER 12,BCRS,BAR
4/15/2025,45,BEVERAGE,28.13,T1,5.06,SUPPLIER 12,Materials Purchased,BAR
4/17/2025,46,BEVERAGE,209.73,T1,37.75,SUPPLIER 12,Materials Purchased,BAR
4/17/2025,46,BCRS,14.4,T9,0,SUPPLIER 12,BCRS,BAR
4/23/2025,47,BEVERAGE,576.18,T1,103.71,SUPPLIER 12,Materials Purchased,BAR
4/23/2025,47,BCRS,2.4,T9,0,SUPPLIER 12,BCRS,BAR
4/24/2025,48,MIXYBAR,22,T0,0,SUPPLIER 14,Materials Purchased,BAR
4/24/2025,49,BEVERAGE,62.88,T1,11.32,SUPPLIER 14,Materials Purchased,BAR
4/24/2025,49,CREAM/CHIPS,78.84,T0,0,SUPPLIER 14,Materials Purchased,BAR
4/24/2025,49,BCRS,9.6,T9,0,SUPPLIER 14,BCRS,BAR
4/24/2025,50,CONCENTRATE/MILK,92.11,T0,0,SUPPLIER 14,Materials Purchased,BAR
4/15/2025,51,BEVERAGE,100.62,T1,18.11,SUPPLIER 28,Materials Purchased,BAR
4/16/2025,52,BEVERAGE,150.32,T1,27.06,SUPPLIER 15,Materials Purchased,BAR
4/16/2025,52,DEPOSIT,7.2,T9,0,SUPPLIER 15,Deposits,BAR
4/17/2025,53,BEVERAGE,275.71,T1,49.63,SUPPLIER 15,Materials Purchased,BAR
4/17/2025,53,DEPOSIT,13.4,T9,0,SUPPLIER 15,Deposits,BAR
4/17/2025,53,BCRS,2.4,T9,0,SUPPLIER 15,BCRS,BAR
4/25/2025,54,BEVERAGE,504.58,T1,90.82,SUPPLIER 15,Materials Purchased,BAR
4/25/2025,54,BEVERAGE,71.28,T2,3.56,SUPPLIER 15,Materials Purchased,BAR
4/25/2025,54,DEPOSIT,76.4,T9,0,SUPPLIER 15,Deposits,BAR
4/25/2025,54,BCRS,6,T9,0,SUPPLIER 15,BCRS,BAR
4/24/2025,55,BEVERAGE,608.95,T1,109.61,SUPPLIER 29,Materials Purchased,BAR
4/24/2025,55,BCRS,16.8,T9,0,SUPPLIER 29,BCRS,BAR
4/23/2025,56,BEVERAGE,193.32,T1,34.8,SUPPLIER 30,Materials Purchased,BAR
4/23/2025,56,DEPOSIT,17.8,T9,0,SUPPLIER 30,Deposits,BAR
4/15/2025,57,BEVERAGE,892.73,T1,160.69,SUPPLIER 16,Materials Purchased,BAR
4/15/2025,57,DEPOSIT,205,T9,0,SUPPLIER 16,Deposits,BAR
4/15/2025,57,BCRS,13.8,T9,0,SUPPLIER 16,BCRS,BAR
4/15/2025,58,BEVERAGE,13.14,T1,2.37,SUPPLIER 16,Materials Purchased,BAR
4/15/2025,58,BCRS,25,T9,0,SUPPLIER 16,Deposits,BAR
4/23/2025,59,BEVERAGE,627.79,T1,112.99,SUPPLIER 16,Materials Purchased,BAR
4/23/2025,59,DEPOSIT,165,T9,0,SUPPLIER 16,Deposits,BAR
4/23/2025,59,BCRS,3.6,T9,0,SUPPLIER 16,BCRS,BAR
4/25/2025,60,BEVERAGE,143.6,T1,25.85,SUPPLIER 31,Materials Purchased,BAR
4/25/2025,60,BCRS,16.8,T9,0,SUPPLIER 31,BCRS,BAR
4/1/2025,61,LAUNDRY,319.37,T3,57.49,SUPPLIER 36,Laundry,HOUSEKEEPING
4/2/2025,62,LAUNDRY,295.82,T3,53.25,SUPPLIER 36,Laundry,HOUSEKEEPING
4/2/2025,63,LAUNDRY,27,T3,4.86,SUPPLIER 36,Laundry,HOUSEKEEPING
4/2/2025,64,LAUNDRY,133.2,T3,23.98,SUPPLIER 36,Laundry,HOUSEKEEPING
4/4/2025,65,LAUNDRY,3.78,T3,0.68,SUPPLIER 36,Laundry,HOUSEKEEPING
4/4/2025,66,LAUNDRY,15.51,T3,2.79,SUPPLIER 36,Laundry,HOUSEKEEPING
4/5/2025,67,LAUNDRY,256.17,T3,46.11,SUPPLIER 36,Laundry,HOUSEKEEPING
4/5/2025,68,LAUNDRY,10.44,T3,1.88,SUPPLIER 36,Laundry,HOUSEKEEPING
4/7/2025,69,LAUNDRY,108.87,T3,19.6,SUPPLIER 36,Laundry,HOUSEKEEPING
4/7/2025,70,LAUNDRY,18.19,T3,3.27,SUPPLIER 36,Laundry,HOUSEKEEPING
4/7/2025,71,LAUNDRY,3.99,T3,0.72,SUPPLIER 36,Laundry,HOUSEKEEPING
4/8/2025,72,LAUNDRY,61.86,T3,11.13,SUPPLIER 36,Laundry,HOUSEKEEPING
4/8/2025,73,LAUNDRY,1.15,T3,0.21,SUPPLIER 36,Laundry,HOUSEKEEPING
4/10/2025,74,LAUNDRY,12.6,T3,2.27,SUPPLIER 36,Laundry,HOUSEKEEPING
4/11/2025,75,LAUNDRY,10.76,T3,1.94,SUPPLIER 36,Laundry,HOUSEKEEPING
4/12/2025,76,LAUNDRY,165.13,T3,29.72,SUPPLIER 36,Laundry,HOUSEKEEPING
4/14/2025,77,LAUNDRY,236.36,T3,42.54,SUPPLIER 36,Laundry,HOUSEKEEPING
4/14/2025,78,LAUNDRY,5.08,T3,0.91,SUPPLIER 36,Laundry,HOUSEKEEPING
4/14/2025,79,LAUNDRY,11.44,T3,2.06,SUPPLIER 36,Laundry,HOUSEKEEPING
4/14/2025,80,LAUNDRY,199.14,T3,35.85,SUPPLIER 36,Laundry,HOUSEKEEPING
4/15/2025,81,LAUNDRY,1.15,T3,0.21,SUPPLIER 36,Laundry,HOUSEKEEPING
4/16/2025,82,LAUNDRY,149.11,T3,26.84,SUPPLIER 36,Laundry,HOUSEKEEPING
4/17/2025,83,LAUNDRY,59.11,T3,10.64,SUPPLIER 36,Laundry,HOUSEKEEPING
4/17/2025,84,LAUNDRY,233.78,T3,42.08,SUPPLIER 36,Laundry,HOUSEKEEPING
4/18/2025,85,LAUNDRY,62.22,T3,11.2,SUPPLIER 36,Laundry,HOUSEKEEPING
4/18/2025,86,LAUNDRY,176,T3,31.68,SUPPLIER 36,Laundry,HOUSEKEEPING
4/19/2025,87,LAUNDRY,193.29,T3,34.79,SUPPLIER 36,Laundry,HOUSEKEEPING
4/19/2025,88,LAUNDRY,22.55,T3,4.06,SUPPLIER 36,Laundry,HOUSEKEEPING
4/21/2025,89,LAUNDRY,227.4,T3,40.93,SUPPLIER 36,Laundry,HOUSEKEEPING
4/22/2025,90,LAUNDRY,424.07,T3,76.33,SUPPLIER 36,Laundry,HOUSEKEEPING
4/23/2025,91,LAUNDRY,2.54,T3,0.46,SUPPLIER 36,Laundry,HOUSEKEEPING
4/23/2025,92,LAUNDRY,55.77,T3,10.04,SUPPLIER 36,Laundry,HOUSEKEEPING
4/24/2025,93,LAUNDRY,214.65,T3,38.64,SUPPLIER 36,Laundry,HOUSEKEEPING
4/25/2025,94,LAUNDRY,37.84,T3,6.81,SUPPLIER 36,Laundry,HOUSEKEEPING
4/25/2025,95,LAUNDRY,25.91,T3,4.66,SUPPLIER 36,Laundry,HOUSEKEEPING
4/25/2025,96,LAUNDRY,263.93,T3,47.51,SUPPLIER 36,Laundry,HOUSEKEEPING
4/26/2025,97,LAUNDRY,21.36,T3,3.84,SUPPLIER 36,Laundry,HOUSEKEEPING
4/26/2025,98,LAUNDRY,158.9,T3,28.6,SUPPLIER 36,Laundry,HOUSEKEEPING
4/28/2025,99,LAUNDRY,177.84,T3,32.01,SUPPLIER 36,Laundry,HOUSEKEEPING
4/28/2025,100,LAUNDRY,194.49,T3,35.01,SUPPLIER 36,Laundry,HOUSEKEEPING
4/29/2025,101,LAUNDRY,53.61,T3,9.65,SUPPLIER 36,Laundry,HOUSEKEEPING
4/29/2025,102,LAUNDRY,15.6,T3,2.81,SUPPLIER 36,Laundry,HOUSEKEEPING
4/29/2025,103,LAUNDRY,207.98,T3,37.44,SUPPLIER 36,Laundry,HOUSEKEEPING
4/29/2025,104,LAUNDRY,34.59,T3,6.23,SUPPLIER 36,Laundry,HOUSEKEEPING
4/30/2025,105,LAUNDRY,8.5,T3,1.53,SUPPLIER 36,Laundry,HOUSEKEEPING
5/3/2025,106,COMMISSION,9890.16,T8,0,SUPPLIER 1,Sales Commissions,ACCOMMODATION
4/7/2025,107,NEWSPAPERS,15.01,T2,0.75,SUPPLIER 11,Materials Purchased,ACCOMMODATION
4/21/2025,108,NEWSPAPERS,15.01,T2,0.75,SUPPLIER 11,Materials Purchased,ACCOMMODATION
4/30/2025,109,NEWSPAPERS,23.69,T2,1.18,SUPPLIER 11,Materials Purchased,ACCOMMODATION
4/25/2025,110,BRICKS,100.24,T6,18.04,SUPPLIER 37,Buildings,CAPITAL
4/28/2025,111,BRICKS,48.4,T6,8.71,SUPPLIER 37,Buildings,CAPITAL
5/5/2025,112,NEWSPAPERS,10.67,T2,0.53,SUPPLIER 11,Materials Purchased,ACCOMMODATION
4/15/2025,113,BRICKS,55.5,T6,9.99,SUPPLIER 37,Buildings,CAPITAL
4/29/2025,114,BRICKS,51.84,T6,9.33,SUPPLIER 37,Buildings,CAPITAL
4/30/2025,115,MATCH FINANCING LETTER,65,T3,11.7,SUPPLIER 26,Professional Fees,ADMINISTRATION
5/5/2025,116,COMMISSION,273.77,T8,0,SUPPLIER 2,Sales Commissions,ACCOMMODATION
4/4/2025,117,CONCRETE,5220.23,T6,939.64,SUPPLIER 39,Buildings,CAPITAL
4/28/2025,118,RECYCLING,110.97,T3,19.97,SUPPLIER 40,Cleaning,HOUSEKEEPING
5/6/2025,119,RECYCLING,117.07,T3,21.07,SUPPLIER 40,Cleaning,HOUSEKEEPING
4/28/2025,120,PROCEDURES MANUAL,100,T3,18,SUPPLIER 41,Professional Fees,ADMINISTRATION
4/21/2025,121,KEY CARD HOLDERS,496,T3,89.28,SUPPLIER 42,Printing,ADMINISTRATION
5/13/2025,122,TAL-LINJA CARDS,1455,T0,0,SUPPLIER 0,Materials Purchased,ACCOMMODATION
5/1/2025,123,MOBILE,19.69,T3,3.55,SUPPLIER 4,Telephone and Fax,ADMINISTRATION
